"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","ONIONS, DRY - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","ONIONS, DRY - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","ONIONS, DRY - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","ONIONS, DRY - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","ONIONS, DRY - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","ONIONS, DRY - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","ONIONS, DRY - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","ONIONS, DRY - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","ONIONS, DRY - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>VALUE</b>","ONIONS, DRY - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANDIPROPAMIDE TECHN = 36602)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","23,000","","0.206","","0.474","","2.3","","44",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","5,200","","0.195","","0.338","","1.7","","14",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","2,900","","0.129","","0.255","","2","","6",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","13,900","","0.126","","0.259","","2.1","","44",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","100","","0.231","","0.447","","1.9",""," (Z)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TEBUCONAZOLE = 128997)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","527,000","","","","","","","","90",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZOXAMIDE = 101702)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BENSULIDE = 9801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BROMOXYNIL HEPTAN. = 128920)","1,700","","0.058","","0.119","","2.1","","13",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BROMOXYNIL OCTANOATE = 35302)","19,600","","0.143","","0.257","","1.8","","64",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BUTOXYETHYL TRICLOPY = 116004)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLETHODIM = 121011)","7,500","","0.184","","0.229","","1.2","","29",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID MONO SALT = 117401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CYFLUMETOFEN = 123802)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DCPA = 78701)","21,400","","5.117","","8.616","","1.7","","2",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)","24,800","","0.662","","1.144","","1.7","","25",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ETHOFUMESATE = 110601)","27,700","","0.809","","1.237","","1.5","","20",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUAZIFOP-P-BUTYL = 122809)","4,600","","0.156","","0.257","","1.6","","12",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUROXYPYR 1-MHE = 128968)","4,400","","0.084","","0.131","","1.6","","30",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","14,400","","0.42","","0.422","","1","","30",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","35,100","","1.296","","1.662","","1.3","","19",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","33,000","","0.145","","0.341","","2.4","","83",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","112,500","","0.718","","1.526","","2.1","","75",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)","3,600","","0.221","","0.25","","1.1","","13",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","345,700","","","","","","","","91",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","1,200","","0.017","","0.023","","1.3","","44",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)","200","","0.007","","0.016","","2.2","","8",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)","13,300","","0.791","","0.83","","1","","10",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","1,500","","0.067","","0.075","","1.1","","14",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYPERMETHRIN = 109702)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (KAOLIN = 100104)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)","2,100","","0.027","","0.054","","2","","34",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOMYL = 90301)","50,100","","0.635","","1.327","","2.1","","35",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (OXAMYL = 103801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","8,700","","0.296","","0.765","","2.6","","10",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (POTASSIUM SALTS = 79021)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)","3,600","","0.058","","0.095","","1.6","","35",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROTETRAMAT = 392201)","2,500","","0.073","","0.109","","1.5","","21",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOLFENPYRAD = 90111)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","276,200","","","","","","","","73",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ZETA-CYPERMETHRIN = 129064)","800","","0.036","","0.039","","1.1","","17",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (CHLOROPICRIN = 81501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (CYTOKININS = 116801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (HYDROGEN PEROXIDE = 595)","5,800","","1.635","","4.792","","2.9","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (INDOLEBUTYRIC ACID = 46701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (MALEIC HYDRAZIDE, POTASSIUM SALT = 51503)","36,800","","1.177","","1.317","","1.1","","22",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (METAM-POTASSIUM = 39002)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","ONIONS","CHEMICAL, OTHER","CHEMICAL, OTHER: (METAM-SODIUM = 39003)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
