"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","PEARS, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","PEARS, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","PEARS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","PEARS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","PEARS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","PEARS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","PEARS, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","PEARS, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","PEARS, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","PEARS, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER AMM. COMPLEX = 22702)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)","7,600","","0.615","","1.588","","2.6","","12",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","52,100","","1.969","","3.196","","1.6","","39",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)","6,700","","3.239","","3.883","","1.2","","4",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER SULFATE = 24401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","100","","0.041","","0.044","","1.1","","8",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","1,000","","0.193","","0.39","","2","","6",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","300","","0.067","","0.115","","1.7","","6",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DODINE = 44301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENBUCONAZOLE = 129011)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","700","","0.082","","0.114","","1.4","","14",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUTIANIL = 14018)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","300","","0.09","","0.103","","1.1","","6",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KASUGAMYCIN = 230001)","1,400","","0.084","","0.09","","1.1","","39",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KRESOXIM-METHYL = 129111)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)","206,700","","4.748","","9.076","","1.9","","55",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXYTETRACYCLINE CALC = 6321)","3,600","","0.13","","0.454","","3.5","","19",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","1,200","","0.242","","0.322","","1.3","","9",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PSEUDOMONAS FLUORESCENS A506 = 6438)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","300","","0.096","","0.108","","1.1","","7",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCIN SULFATE = 6310)","5,100","","0.152","","0.491","","3.2","","25",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","292,200","","10.346","","15.112","","1.5","","47",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SWINGLEA GLUTINOSA = 97096)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","7,700","","0.697","","0.766","","1.1","","24",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","843,100","","","","","","","","92",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","700","","0.082","","0.113","","1.4","","14",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","3,500","","0.367","","0.462","","1.3","","18",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZIRAM = 34805)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D = 30001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIETH. SALT = 30016)","200","","0.291","","0.321","","1.1","","1",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)","5,600","","0.929","","1.237","","1.3","","11",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICHLOBENIL = 27401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIURON = 35505)","6,700","","2.266","","2.403","","1.1","","7",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE AMM. SALT = 103604)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE DIA. SALT = 103607)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","18,900","","1.316","","2.106","","1.6","","21",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","4,400","","1.252","","1.896","","1.5","","6",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (HALOSULFURON-METHYL = 128721)"," (Z)","","0.047","","0.054","","1.1","","2",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NORFLURAZON = 105801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","3,500","","0.828","","1.154","","1.4","","7",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","1,800","","0.972","","1.172","","1.2","","4",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","9,700","","2.985","","4.303","","1.4","","5",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENOXSULAM = 119031)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (Z)","","0.006","","0.01","","1.7","","12",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","400","","0.056","","0.073","","1.3","","12",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)","3,700","","2.764","","2.764","","1","","3",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","69,900","","","","","","","","41",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","600","","0.022","","0.027","","1.2","","50",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","3,000","","0.148","","0.327","","2.2","","22",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)","900","","0.037","","0.075","","2","","28",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BETA-CYFLUTHRIN = 118831)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","4,900","","0.488","","0.532","","1.1","","22",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)","","2.5","","2",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUBSP KURSTAKI STRAIN EVB-113-19 = 6700)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)","8,400","","1.723","","1.993","","1.2","","10",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CARBARYL = 56801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","1,100","","0.074","","0.124","","1.7","","21",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)","5,400","","1.741","","1.86","","1.1","","7",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","1,000","","0.105","","0.127","","1.2","","20",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYD-X GRANULO. VIRUS = 129090)"," (NA)",""," (NA)",""," (NA)","","1.7","","8",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYDIA POMONELLA GRANULOVIRUS V22 = 128090)"," (NA)",""," (NA)",""," (NA)","","3.7","","1",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)","2,300","","0.179","","0.207","","1.2","","27",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)","2,200","","1.437","","1.634","","1.1","","3",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIFLUBENZURON = 108201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETHYL (2E;4Z)-DECADIENOATE = 144022)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)","1,700","","0.135","","0.146","","1.1","","28",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENAZAQUIN = 44501)","1,000","","0.411","","0.433","","1.1","","6",""
"SURVEY","2021","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PEARS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENBUTATIN-OXIDE = 104601)","2,000","","1","","1.009","","1","","5",""
