"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","SQUASH - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","SQUASH - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","SQUASH - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","SQUASH - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","SQUASH - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","SQUASH - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","SQUASH - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","SQUASH - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","SQUASH - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>VALUE</b>","SQUASH - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER SULFATE = 24401)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYAZOFAMID = 85651)"," (Z)","","0.065","","0.084","","1.3","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","100","","0.025","","0.036","","1.4","","4",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYMOXANIL = 129106)","200","","0.073","","0.16","","2.2","","3",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPROCONAZOLE = 128993)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","100","","0.09","","0.179","","2","","2",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","100","","0.056","","0.087","","1.6","","4",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIMETHOMORPH = 268800)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FAMOXADONE = 113202)","200","","0.072","","0.159","","2.2","","3",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENAMIDONE = 46679)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPICOLIDE = 27412)","300","","0.115","","0.165","","1.4","","4",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUTIANIL = 14018)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)","15,700","","1.16","","3.471","","3","","9",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANDIPROPAMIDE TECHN = 36602)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANEB = 14505)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (Z)","","0.09","","0.091","","1",""," (Z)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","300","","0.069","","0.145","","2.1","","4",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","200","","0.012","","0.015","","1.3","","21",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","500","","0.201","","0.354","","1.8","","3",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPAMOCARB HYDROCH. = 119302)","1,100","","1.334","","2.795","","2.1","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROTHIOCONAZOLE = 113961)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYDIFLUMETOFEN = 90110)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","100","","0.166","","0.256","","1.5","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIOFENONE = 28828)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","100","","0.1","","0.108","","1.1","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","9,300","","10.805","","22.648","","2.1","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TEBUCONAZOLE = 128997)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","102,600","","","","","","","","50",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZOXAMIDE = 101702)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BENSULIDE = 9801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLETHODIM = 121011)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOMAZONE = 125401)","9,300","","0.588","","0.615","","1","","32",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ETHALFLURALIN = 113101)","27,000","","1.951","","2.071","","1.1","","27",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FOMESAFEN SODIUM = 123802)","400","","0.227","","0.227","","1","","4",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","1,300","","1.508","","1.621","","1.1","","2",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","2,600","","1.728","","5.432","","3.1","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (HALOSULFURON-METHYL = 128721)","200","","0.034","","0.034","","1","","10",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)","3,100","","0.982","","0.993","","1","","7",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","45,700","","","","","","","","41",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","100","","0.022","","0.026","","1.2","","4",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","400","","0.092","","0.109","","1.2","","8",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AFIDOPYROPEN = 26200)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BETA-CYFLUTHRIN = 118831)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)","1,300","","0.049","","0.086","","1.8","","25",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)","","1.9","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUB AIZAWAI GC-91 = 6426)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CARBARYL = 56801)","500","","0.529","","1.094","","2.1","","2",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","100","","0.063","","0.074","","1.2","","3",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUTHRIN = 128831)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIMETHOATE = 35001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DINOTEFURAN = 44312)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)"," (Z)","","0.035","","0.06","","1.7",""," (Z)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETHOPROP = 41101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HELICOVERPA ZEA NPV = 107300)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","800","","0.297","","0.41","","1.4","","4",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","SQUASH","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (KAOLIN = 100104)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
